id_stepic;id_site
129279650;16
45974881;7
129279636;24
62056858;22
129249867;2
129272101;20
129248775;12
129248678;11
62163349;15
55136286;14
129280388;17
129249567;8
129279518;19
129603062;10
129254000;26
130425131;18
129249804;3
46195864;13
129279759;25
130658083;21
